train_loss,val_loss,gap,is_overfitting
0.20464633466207494,0.15066369901220483,-0.0539826356498701,False
0.16634412698824463,0.14439641341387507,-0.02194771357436956,False
0.1588283442665631,0.13646973310464836,-0.022358611161914732,False
0.13727121459051717,0.10421875862472028,-0.03305245596579688,False
0.11468182800970088,0.08190526073596564,-0.032776567273735235,False
0.10038519341858712,0.07507827107805803,-0.025306922340529087,False
0.08988065301275024,0.061300498695976764,-0.028580154316773472,False
0.08125614442538674,0.059420439762523376,-0.021835704662863366,False
0.07720862589148586,0.05552807049937995,-0.021680555392105907,False
0.0740029577115864,0.05219228664435536,-0.021810671067231037,False
0.08782171722505361,0.06472814461912017,-0.023093572605933435,False
0.07980575517465825,0.057749498429068596,-0.022056256745589656,False
0.07477407077456161,0.051756789400634995,-0.023017281373926612,False
0.06780795660222319,0.04213189110159874,-0.02567606550062445,False
0.06379335295853641,0.04244679848113692,-0.02134655447739949,False
0.058728303597540964,0.03454344606543162,-0.024184857532109347,False
0.05505958610602905,0.033279160464025404,-0.021780425642003644,False
0.051332878333967824,0.03212580526449594,-0.019207073069471885,False
0.048689699331622045,0.030112478163946105,-0.01857722116767594,False
0.0474093725970819,0.02649227924734713,-0.020917093349734774,False
